normalized f	1/Q	C	D	E	F	G	H	I	J
1590.4	0.067400								
2246.6	0.063200								
3728.4	0.057300								
5909.0	0.052000								
9806.6	0.047900								
15542	0.044000								
25207	0.040200								
41833	0.036600								
69425	0.033700								
1.1790e+05	0.031900								
1.5189e+05	0.030100								
2.6395e+05	0.028600								
3.9950e+05	0.027000								
6.6301e+05	0.025400								
1.0753e+06	0.023600								
1.5542e+06	0.022100								
2.5207e+06	0.021500								
4.4825e+06	0.017100								
7.1042e+06	0.013600								
1.0753e+07	0.010600								
1.7845e+07	0.0081000								
3.0305e+07	0.0059000								
4.5869e+07	0.0049000								
6.4791e+07	0.0046000								
1.0753e+08	0.0038000								
