normalized f	1/Q 1400	C	D	E	F	G	H	I	J
1.3060e+05	0.012940								
85470	0.015590								
53436	0.021770								
33402	0.028820								
19308	0.036770								
12077	0.036770								
8162.4	0.040290								
5102.6	0.040290								
3182.9	0.050000								
1840.2	0.057060								
1345.3	0.060590								
777.69	0.067650								
415.73	0.082650								
259.91	0.090060								
190.00	0.091470								
101.62	0.11529								
68.675	0.12641								
44.239	0.14265								
26.846	0.17176								
15.521	0.21000								
