z (km), rho (Mg/m3),Vsv (km/s), Vsh (km/s), Vpv (km/s), Vph (km/s), eta, Q_u
0.0,1.03,0.00,0.00,1.50,1.50,1.00,9999
4.999,1.03,0.00,0.00,1.50,1.50,1.00,9999
5.00,1.50,0.92,0.92,2.01,2.01,1.00,9999
5.199,1.50,0.92,0.92,2.01,2.01,1.00,9999
5.2,3.03,3.68,3.68,5.93,5.93,1.00,150
11.99,3.03,3.68,3.68,5.93,5.93,1.00,150
12.0,3.34,4.65,4.84,8.04,8.27,0.90,150
67.99,3.38,4.67,4.83,8.06,8.30,0.90,150
68.0,3.35,4.37,4.56,7.88,8.05,0.90,50
165.99,3.41,4.26,4.34,8.04,8.09,1.00,50
166.0,3.42,4.29,4.29,8.06,8.06,1.00,150
414.99,3.58,4.84,4.84,8.92,8.93,1.00,150
415.0,3.71,5.04,5.04,9.29,9.29,1.00,150
506.99,3.85,5.20,5.20,9.64,9.64,1.00,150
507.0,3.88,5.28,5.28,9.71,9.71,1.00,150
650.99,4.02,5.43,5.43,10.11,10.11,1.00,150
651.0,4.29,5.97,5.97,10.76,10.76,1.00,231
790.99,4.46,6.23,6.23,11.08,11.08,1.00,231
791.0,4.46,6.23,6.23,11.08,11.08,1.00,231
801.0,4.46,6.24,6.24,11.10,11.10,1.00,231

